"","mean","sd"
"MP.Lepus",9,2.5
"Ozt.Lepus",5,2.5
"P5.Lepus",9,2.5
"Teopan.Lepus",8,2.5
"TyC.Lepus",9,2.5
"MP.Sylv",7,2
"Ozt.Sylv",4,2
"P5.Sylv",7,2
"Teopan.Sylv",5,2
"TyC.Sylv",7,2
